danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist_id,artist_name
0.55,0.75,0,-3.289,1,0.146,0.0561,0.0,0.129,0.381,172.124,audio_features,5JVA0t7r2Y7m9NaHmgaeiC,spotify:track:5JVA0t7r2Y7m9NaHmgaeiC,https://api.spotify.com/v1/tracks/5JVA0t7r2Y7m9NaHmgaeiC,https://api.spotify.com/v1/audio-analysis/5JVA0t7r2Y7m9NaHmgaeiC,147410,4,Remedy,2NpPlwwDVYR5dIj0F31EcC,Leony
0.714,0.425,1,-8.064,1,0.0809,0.403,0.000105,0.115,0.316,99.034,audio_features,0RSZ8EmUPEN3ySfCgytPke,spotify:track:0RSZ8EmUPEN3ySfCgytPke,https://api.spotify.com/v1/tracks/0RSZ8EmUPEN3ySfCgytPke,https://api.spotify.com/v1/audio-analysis/0RSZ8EmUPEN3ySfCgytPke,165477,4,Auf & Ab,5ZY4M2aGiTaZQEP6HfqeJc,Montez
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,6CDzDgIUqeDY5g8ujExx2f,spotify:track:6CDzDgIUqeDY5g8ujExx2f,https://api.spotify.com/v1/tracks/6CDzDgIUqeDY5g8ujExx2f,https://api.spotify.com/v1/audio-analysis/6CDzDgIUqeDY5g8ujExx2f,238805,4,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals
0.774,0.792,10,-4.021,1,0.0523,0.051,0.0,0.155,0.507,122.062,audio_features,3eJH2nAjvNXdmPfBkALiPZ,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,https://api.spotify.com/v1/tracks/3eJH2nAjvNXdmPfBkALiPZ,https://api.spotify.com/v1/audio-analysis/3eJH2nAjvNXdmPfBkALiPZ,139672,4,Acapulco,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,audio_features,5fwSHlTEWpluwOM0Sxnh5k,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/tracks/5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/audio-analysis/5fwSHlTEWpluwOM0Sxnh5k,287120,4,Pepas,329e4yvIujISKGKz1BZZbO,Farruko
0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,audio_features,1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,4,Savage Love (Laxed - Siren Beat),56mfhUDKa1vec6rSLZV5Eg,Jawsh 685
0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190,4,Ghost,1uNFoZAHBGtllmzznpCI3s,Justin Bieber
0.697,0.893,1,-5.85,0,0.169,0.0204,0.0,0.389,0.407,142.962,audio_features,6ADIkIpPJOlBOY9ZMaKlle,spotify:track:6ADIkIpPJOlBOY9ZMaKlle,https://api.spotify.com/v1/tracks/6ADIkIpPJOlBOY9ZMaKlle,https://api.spotify.com/v1/audio-analysis/6ADIkIpPJOlBOY9ZMaKlle,168827,4,Dopamin,7I2JG3CcPawkeQPE7uypHJ,HBz
0.646,0.864,9,-3.727,1,0.0718,0.087,0.0,0.0923,0.082,87.419,audio_features,0PX9O7QzWYClP6PPuIaomj,spotify:track:0PX9O7QzWYClP6PPuIaomj,https://api.spotify.com/v1/tracks/0PX9O7QzWYClP6PPuIaomj,https://api.spotify.com/v1/audio-analysis/0PX9O7QzWYClP6PPuIaomj,264000,4,You & I,7GDrXlpRrdG29o4n0pNR5D,Bru-C
0.756,0.429,5,-8.079,0,0.0295,0.0101,0.000589,0.153,0.092,95.008,audio_features,4MQIDIQjNWkUvpXe5Je7TO,spotify:track:4MQIDIQjNWkUvpXe5Je7TO,https://api.spotify.com/v1/tracks/4MQIDIQjNWkUvpXe5Je7TO,https://api.spotify.com/v1/audio-analysis/4MQIDIQjNWkUvpXe5Je7TO,213474,4,APOLOGIZE,5SXuuuRpukkTvsLuUknva1,Baby Keem
0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,audio_features,3t4KHjd8uQpJJ2fa0fRIpR,spotify:track:3t4KHjd8uQpJJ2fa0fRIpR,https://api.spotify.com/v1/tracks/3t4KHjd8uQpJJ2fa0fRIpR,https://api.spotify.com/v1/audio-analysis/3t4KHjd8uQpJJ2fa0fRIpR,175163,4,High,69GGBxA162lTqCwzJG5jLp,The Chainsmokers
0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,audio_features,3uUuGVFu1V7jTQL60S1r8z,spotify:track:3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/tracks/3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/audio-analysis/3uUuGVFu1V7jTQL60S1r8z,148197,4,Where Are You Now,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies
0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,audio_features,561jH07mF1jHuk7KlaeF0s,spotify:track:561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s,250760,4,Mockingbird,7dGJo4pcD2V6oG8kP0tJRR,Eminem
0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,audio_features,7Ie9W94M7OjPoZVV216Xus,spotify:track:7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/tracks/7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/audio-analysis/7Ie9W94M7OjPoZVV216Xus,248133,5,Not Afraid,7dGJo4pcD2V6oG8kP0tJRR,Eminem
0.662,0.618,1,-7.505,0,0.233,0.104,0.0,0.091,0.429,144.896,audio_features,2EN2lY3q66SJOfxRN5EUDr,spotify:track:2EN2lY3q66SJOfxRN5EUDr,https://api.spotify.com/v1/tracks/2EN2lY3q66SJOfxRN5EUDr,https://api.spotify.com/v1/audio-analysis/2EN2lY3q66SJOfxRN5EUDr,165067,4,In Meinem Kopf (feat. Helena Fin),4fQiSuMUBoiLA6ClCFsNxE,FACE
0.774,0.752,1,-5.534,1,0.137,0.0481,0.0,0.0719,0.546,139.965,audio_features,4FXX4P3dxc1JMBx5wVRJ5N,spotify:track:4FXX4P3dxc1JMBx5wVRJ5N,https://api.spotify.com/v1/tracks/4FXX4P3dxc1JMBx5wVRJ5N,https://api.spotify.com/v1/audio-analysis/4FXX4P3dxc1JMBx5wVRJ5N,170784,4,LEBENSLANG - HBz Remix,6vNAKgK5d74N1I0zTxRPDp,Tream
0.682,0.754,1,-5.355,1,0.0655,0.0956,3.73e-06,0.0997,0.348,132.033,audio_features,4vo8Ac2K2fXgyH8nYvjbxq,spotify:track:4vo8Ac2K2fXgyH8nYvjbxq,https://api.spotify.com/v1/tracks/4vo8Ac2K2fXgyH8nYvjbxq,https://api.spotify.com/v1/audio-analysis/4vo8Ac2K2fXgyH8nYvjbxq,150305,4,Kleine Teile,1ZyqnbV7Brg5LgyS4EZCUD,FiNCH
0.808,0.661,0,-6.237,0,0.0395,0.0358,0.0,0.138,0.804,107.992,audio_features,45eY7Qi2PDUs8WJEhjGWdN,spotify:track:45eY7Qi2PDUs8WJEhjGWdN,https://api.spotify.com/v1/tracks/45eY7Qi2PDUs8WJEhjGWdN,https://api.spotify.com/v1/audio-analysis/45eY7Qi2PDUs8WJEhjGWdN,235556,4,Ramenez la coupe à la maison,4eYnorQRhVHT2KBl2UyHHd,Vegedream
0.781,0.526,6,-6.986,0,0.293,0.0633,0.0,0.0457,0.665,94.993,audio_features,6CjtS2JZH9RkDz5UVInsa9,spotify:track:6CjtS2JZH9RkDz5UVInsa9,https://api.spotify.com/v1/tracks/6CjtS2JZH9RkDz5UVInsa9,https://api.spotify.com/v1/audio-analysis/6CjtS2JZH9RkDz5UVInsa9,235613,4,Thrift Shop (feat. Wanz),5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis
0.496,0.913,4,-6.437,0,0.0586,0.000422,0.0,0.375,0.529,159.94,audio_features,6OXlb1FnbySxMPPhbwiXic,spotify:track:6OXlb1FnbySxMPPhbwiXic,https://api.spotify.com/v1/tracks/6OXlb1FnbySxMPPhbwiXic,https://api.spotify.com/v1/audio-analysis/6OXlb1FnbySxMPPhbwiXic,190125,4,Spaceman (feat. FiNCH),1WNoKxsp715jez1Td4vthc,Electric Callboy
0.711,0.681,10,-7.459,1,0.0263,0.124,0.0,0.262,0.775,118.021,audio_features,2CewvqbfMOcnvYE3yayAJV,spotify:track:2CewvqbfMOcnvYE3yayAJV,https://api.spotify.com/v1/tracks/2CewvqbfMOcnvYE3yayAJV,https://api.spotify.com/v1/audio-analysis/2CewvqbfMOcnvYE3yayAJV,147007,4,I Believe,6zcWVbyNT0z94MBffsTJGP,KAMRAD
0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4,Without Me,7dGJo4pcD2V6oG8kP0tJRR,Eminem
0.655,0.909,0,-4.27,1,0.282,0.00134,1.12e-06,0.139,0.361,148.771,audio_features,2RskWREdTFVI4SngQfPAVj,spotify:track:2RskWREdTFVI4SngQfPAVj,https://api.spotify.com/v1/tracks/2RskWREdTFVI4SngQfPAVj,https://api.spotify.com/v1/audio-analysis/2RskWREdTFVI4SngQfPAVj,127366,4,ERSTENS ICH BIN BESOFFEN,6vNAKgK5d74N1I0zTxRPDp,Tream
0.681,0.837,0,-5.402,0,0.0579,0.0112,0.00676,0.14,0.523,149.982,audio_features,6PFYWTdr43I5BRoCwkauNn,spotify:track:6PFYWTdr43I5BRoCwkauNn,https://api.spotify.com/v1/tracks/6PFYWTdr43I5BRoCwkauNn,https://api.spotify.com/v1/audio-analysis/6PFYWTdr43I5BRoCwkauNn,161600,4,FEEL LIKE,6vNAKgK5d74N1I0zTxRPDp,Tream
