Song,Artist
Last Night,Morgan Wallen
Fast Car,Luke Combs
Calm Down,Rema & Selena Gomez
Flowers,Miley Cyrus
All My Life,Lil Durk Featuring J. Cole
Favorite Song,Toosii
Karma,Taylor Swift Featuring Ice Spice
Kill Bill,SZA
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Ella Baila Sola,Eslabon Armado X Peso Pluma
Sure Thing,Miguel
Anti-Hero,Taylor Swift
Snooze,SZA
Something In The Orange,Zach Bryan
Die For You,The Weeknd & Ariana Grande
Fukumean,Gunna
Need A Favor,Jelly Roll
Cruel Summer,Taylor Swift
La Bebe,Yng Lvcas x Peso Pluma
You Proof,Morgan Wallen
Un x100to,Grupo Frontera X Bad Bunny
Thinkin' Bout Me,Morgan Wallen
Rock And A Hard Place,Bailey Zimmerman
Cupid,Fifty Fifty
Search & Rescue,Drake
Chemical,Post Malone
Eyes Closed,Ed Sheeran
Next Thing You Know,Jordan Davis
Back To The Moon,Gunna
Where She Goes,Bad Bunny
Attention,Doja Cat
I'm Good (Blue),David Guetta & Bebe Rexha
Thought You Should Know,Morgan Wallen
Dance The Night,Dua Lipa
Dancin' In The Country,Tyler Hubbard
Religiously,Bailey Zimmerman
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
Memory Lane,Old Dominion
Put It On Da Floor Again,Latto Featuring Cardi B
Area Codes,Kali
Stand By Me,Lil Durk Featuring Morgan Wallen
Rodeo Dr,Gunna
Tennessee Orange,Megan Moroney
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
Love You Anyway,Luke Combs
One Thing At A Time,Morgan Wallen
TQM,Fuerza Regida
Players,Coi Leray
Under The Influence,Chris Brown
Thank God,Kane Brown With Katelyn Brown
Back At It,Gunna
Bread & Butter,Gunna
Princess Diana,Ice Spice & Nicki Minaj
Bye,Peso Pluma
Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie"
Daylight,David Kushner
What It Is (Block Boy),Doechii Featuring Kodak Black
Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset"
Bury Me In Georgia,Kane Brown
Ca$h $hit,Gunna
Self Love,Metro Boomin & Coi Leray
Bottom,Gunna
It Matters To Her,Scotty McCreery
Dial Drunk,Noah Kahan
PRC,Peso Pluma X Natanael Cano
Por Las Noches,Peso Pluma
Mourning,Post Malone
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
Waffle House,Jonas Brothers
See You Again,"Tyler, The Creator Featuring Kali Uchis"
TQG,Karol G x Shakira
Your Heart Or Mine,Jon Pardi
Peaches & Eggplants,Young Nudy Featuring 21 Savage
El Azul,Junior H x Peso Pluma
"You, Me, & Whiskey",Justin Moore & Priscilla Block
IDK NoMore,Gunna
P Angels,Gunna
Cowgirls,Morgan Wallen Featuring ERNEST
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
Popular,"The Weeknd, Playboi Carti & Madonna"
Fight The Feeling,Rod Wave
Slut Me Out,NLE Choppa
Paybach,Gunna
Plebada,El Alfa x Peso Pluma
Save Me,Jelly Roll With Lainey Wilson
Fragil,Yahritza y Su Esencia x Grupo Frontera
Jaded,Miley Cyrus
ICU,Coco Jones
Truck Bed,HARDY
Ain't That Some,Morgan Wallen
Shake Sumn,DaBaby
Trustfall,P!nk
People,Libianca
Go Crazy,Gunna
Chanel,Becky G & Peso Pluma
"Angel, Pt. 1","Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long"
Girl In Mine,Parmalee
Moonlight,Kali Uchis
Classy 101,Feid x Young Miko
Bluffin,Gucci Mane & Lil Baby
